,guest_speaker,imdb_rating,imd_votes,number_of_episodes
418, Fall Out Boy,[5.9],[706.0],1
419,Colm Meaney,[6.3],[619.0],1
420, Markéta Irglová,[6.3],[619.0],1
421,Anne Hathaway,[7.2],[605.0],1
422,Elliot Page,[7.1],[613.0],1
423,Jodie Foster,[6.3],[591.0],1
424,Seth Rogen,[7.1],[698.0],1
425, Kevin Michael Richardson,"[7.1, 6.5, 4.5, 6.6]","[698.0, 470.0, 1215.0, 372.0]",4
426,Chuck Liddell,[6.3],[562.0],1
427,Jonah Hill,[6.7],[543.0],1
428,Neve Campbell,[6.8],[529.0],1
429,Peyton Manning,[7.2],[542.0],1
430, Eli Manning,[7.2],[542.0],1
431, Cooper Manning,[7.2],[542.0],1
432, Tom Smothers,[7.2],[542.0],1
433, Dick Smothers,[7.2],[542.0],1
434, Kim Cattrall,[7.2],[542.0],1
435, Huell Howser,[7.2],[542.0],1
436, Jordan Nagai,[7.2],[542.0],1
437,Mitch Albom,[6.8],[481.0],1
438, Anne Hathaway,"[6.7, 6.4]","[552.0, 597.0]",2
439, Eartha Kitt,[6.7],[552.0],1
440,Chris Martin,[7.1],[532.0],1
441, Mrs. Krabappel,[7.1],[532.0],1
442,Bob Costas,[6.8],[525.0],1
443,Wren T. Brown,[6.6],[496.0],1
444,Sarah Silverman,[7.0],[554.0],1
445, Angela Bassett,[7.0],[554.0],1
446,Sacha Baron Cohen,[5.7],[675.0],1
447, Yael Naim,[5.7],[675.0],1
448,Kevin Michael Richardson,"[6.7, 6.8, 7.1, 7.0, 7.0, 6.6, 6.3, 6.9]","[482.0, 493.0, 470.0, 406.0, 440.0, 407.0, 377.0, 210.0]",10
449,Eddie Izzard,[7.2],[519.0],1
450, Prince Charles,[7.2],[519.0],1
451,Ryan Seacrest,[6.6],[507.0],1
452, Ellen DeGeneres,[6.6],[507.0],1
453, Simon Cowell,[6.6],[507.0],1
454,Bret McKenzie,[6.3],[691.0],1
455, Jemaine Clement,[6.3],[691.0],1
456, Lea Michele,[6.3],[691.0],1
457, Cory Monteith,[6.3],[691.0],1
458, Amber Riley,[6.3],[691.0],1
459, Ira Glass,[6.3],[691.0],1
460, Stephen Hawking,[6.3],[691.0],1
461,Chris Hansen,[6.8],[506.0],1
462, Muhammad Yunus,[6.8],[506.0],1
463,Mike Scioscia,[6.8],[501.0],1
464,Daniel Radcliffe,"[7.1, 6.4]","[680.0, 473.0]",2
465, Hugh Laurie,[7.1],[680.0],1
466,Danica Patrick,[6.4],[489.0],1
467,Martha Stewart,[6.9],[564.0],1
468,Fat Tony,[7.0],[528.0],1
469, Jon Hamm,[7.0],[528.0],1
