,guest_speaker,imdb_rating,imd_votes,number_of_episodes
141,"Phil ""Brain on a Stick"" Hartman",[8.3],[1186.0],1
142,Paul Winfield,"[8.0, 7.9]","[1085.0, 949.0]",2
143, Michael Buffer,[8.0],[1085.0],1
144,Rodney Dangerfield,[7.7],[1079.0],1
145,Johnny Cash,[8.5],[1383.0],1
146, David Duchovny,[9.0],[1793.0],1
147, Gillian Anderson,[9.0],[1793.0],1
148, Jack Lemmon,[7.8],[998.0],1
149,John Waters,[8.9],[1666.0],1
150, David Hyde Pierce,"[8.2, 7.1]","[1100.0, 673.0]",2
151,Dave Thomas,[8.7],[1330.0],1
152, Santa's Little Helper,[7.7],[913.0],1
153,Bret Hart,[7.9],[967.0],1
154,Sab Shimono,"[8.0, 6.6]","[973.0, 615.0]",2
155, Gedde Watanabe,"[8.0, 7.9]","[973.0, 964.0]",2
156, Karen Maruyama,[8.0],[973.0],1
157, Tim Conway,[7.3],[1006.0],1
158, Big Daddy,[7.3],[1006.0],1
159,Willem Dafoe,"[7.8, 6.9]","[967.0, 456.0]",2
160,Martin Sheen,[7.4],[1158.0],1
161,Fyvush Finkel,[8.1],[980.0],1
162, Monique Yates Jr,[8.1],[1019.0],1
163,Joe Namath,[7.7],[925.0],1
164, Roy Firestone,[7.7],[925.0],1
165, Mike Judge,"[7.7, 5.1]","[925.0, 1119.0]",2
166,Jan Hooks,"[7.7, 7.3, 7.1]","[905.0, 815.0, 747.0]",3
167, Andrea Martin,[7.7],[905.0],1
168,Stephen Jay Gould,[8.0],[978.0],1
169,Alex Trebek,[7.6],[958.0],1
170, George Harrison,[5.1],[1119.0],1
171, Patrick Stewart,"[5.1, 6.3]","[1119.0, 410.0]",2
172,Jim Varney,[7.7],[938.0],1
173, James Earl Jones,[8.1],[1036.0],1
174,Jay Leno,"[7.5, 6.7]","[878.0, 193.0]",2
175, Janeane Garofalo,"[7.5, 6.2]","[878.0, 476.0]",2
176, Steven Wright,[7.5],[878.0],1
177,Helen Hunt,[7.6],[887.0],1
178,Rod Steiger,[8.3],[1026.0],1
179,U2,[8.5],[1108.0],1
180, Ray Patterson,[8.5],[1108.0],1
181,Brendan Fraser,[8.3],[962.0],1
182,Lisa Kudrow,[7.6],[932.0],1
183,William Daniels,[8.2],[988.0],1
184,Robert Englund,[8.0],[1013.0],1
185, Kathie Lee Gifford,[8.0],[1013.0],1
186, Regis Philbin,[8.0],[1013.0],1
187, Themselves,[8.0],[1013.0],1
188,Alec Baldwin,"[7.3, 6.3]","[934.0, 618.0]",2
189, Ron Howard,"[7.3, 7.3]","[934.0, 759.0]",2
190, Brian Grazer,"[7.3, 6.9]","[934.0, 681.0]",2
191,George Carlin,[7.6],[901.0],1
192, Martin Mull,[7.6],[901.0],1
193,Mark Hamill,[8.2],[975.0],1
194, Leavelle,[8.2],[975.0],1
195, Lost in Space,[8.2],[975.0],1
196,The Moody Blues,[7.8],[928.0],1
197,Cyndi Lauper,[7.7],[834.0],1
198,Ed Begley,[7.7],[882.0],1
199, Elton John,[7.3],[815.0],1
200,Isabella Rossellini,[7.6],[831.0],1
201,Jack LaLanne,[7.3],[779.0],1
202,Michael McKean,[7.2],[789.0],1
203,Stephen Hawking,"[7.3, 7.4, 7.0]","[804.0, 661.0, 569.0]",3
204,George Takei,"[7.9, 6.5]","[964.0, 246.0]",2
205, Denice Kumagai,[7.9],[964.0],1
206, Sakatumi,[7.9],[964.0],1
207,Mel Gibson,[7.3],[917.0],1
208, Jack Burns,[7.3],[917.0],1
209,Mark McGwire,[7.5],[776.0],1
210,Ed Asner,[7.5],[797.0],1
211,Lucy Lawless,[7.7],[876.0],1
212, Frank Welker,"[7.7, 7.3, 7.4, 6.5, 7.8]","[876.0, 777.0, 803.0, 656.0, 712.0]",5
213, Tom Arnold,[7.7],[876.0],1
214, Dick Clark,[7.7],[876.0],1
215,The B-52's,[7.6],[817.0],1
216,Nancy O'Dell,[7.3],[759.0],1
217, Garry Marshall,[7.1],[747.0],1
218, Butch Patrick,[7.1],[747.0],1
219,John Goodman,[],[],1
220, Henry Winkler,[],[],1
221, Jay North,[],[],1
222, NRBQ,[],[],1
223, Jan Hooks,[],[],1
224,Tim Robbins,[7.3],[809.0],1
225, Clarence Clemons,[7.3],[809.0],1
226, himself,"[7.3, 7.1, 7.1, 7.1, 7.1, 7.1, 6.7]","[809.0, 621.0, 599.0, 762.0, 762.0, 762.0, 552.0]",7
227,Elwood Edwards,[7.3],[715.0],1
228,Don Cheadle,[6.9],[734.0],1
229,Britney Spears,[7.3],[747.0],1
230,Jim Cummings,[6.6],[822.0],1
231, Bachman-Turner Overdrive,[6.6],[822.0],1
232,Shawn Colvin,"[7.3, 7.3]","[777.0, 721.0]",2
233,Betty White,[7.9],[887.0],1
234,Diedrich Bader,[6.6],[805.0],1
235, Robert Evans,[6.6],[805.0],1
236, Joe C.,[6.6],[805.0],1
237,Parker Posey,[7.3],[737.0],1
238,Willie Nelson,[7.9],[955.0],1
239,The Who,[7.4],[803.0],1
240,Drew Barrymore,[7.1],[733.0],1
241, Stephen King,[7.1],[733.0],1
242, Amy Tan,[7.1],[733.0],1
243,Joshua Jackson,[7.2],[731.0],1
244,Leeza Gibbons,[7.2],[762.0],1
245,Patrick McGoohan,[7.7],[782.0],1
246,Edward Norton,"[7.3, 6.5]","[766.0, 405.0]",2
247,Michael Keaton,[7.3],[760.0],1
248, Charles Napier,"[7.3, 6.9]","[760.0, 535.0]",2
249, Bruce Vilanch,[7.3],[760.0],1
250, Robert Schimmel,[7.3],[760.0],1
251,Tom Savini,[7.5],[761.0],1
252,Andre Agassi,[6.9],[730.0],1
253, Venus Williams,[6.9],[730.0],1
254,'N Sync,[7.2],[833.0],1
255,Stacy Keach,"[7.4, 6.8, 7.3, 6.7]","[731.0, 574.0, 434.0, 374.0]",5
256,Kathy Griffin,[6.5],[691.0],1
257,Frankie Muniz,[8.6],[1095.0],1
258,Pierce Brosnan,[7.5],[824.0],1
259, Matthew Perry,[7.5],[824.0],1
260,Jane Kaczmarek,"[7.1, 6.9, 6.3, 6.9]","[674.0, 649.0, 606.0, 482.0]",4
261,R.E.M.,[7.2],[698.0],1
262,Julia Louis-Dreyfus,"[7.2, 7.2]","[651.0, 780.0]",2
263, George Takei,[7.2],[651.0],1
264,Paul Newman,[7.7],[716.0],1
265, Judith Owen,[7.7],[716.0],1
266,Richard Gere,[7.1],[692.0],1
267, Delroy Lindo,[6.9],[649.0],1
268,Ben Stiller,[7.0],[649.0],1
269,Reese Witherspoon,[7.1],[621.0],1
270,Dennis Weaver,[6.5],[656.0],1
271,Olympia Dukakis,[6.5],[623.0],1
272, Bill Saluga,[6.5],[623.0],1
273,Phish,[7.7],[765.0],1
274,Stan Lee,[7.7],[704.0],1
275,James Lipton,"[6.9, 7.0]","[598.0, 486.0]",2
276,Robert Pinsky,[7.2],[613.0],1
277,Carmen Electra,[7.1],[642.0],1
278, Frances Sternhagen,[7.1],[642.0],1
279,Maggie Roswell,[7.6],[752.0],1
280,Elvis Costello,[7.3],[713.0],1
281, Mick Jagger,[7.3],[713.0],1
282, Lenny Kravitz,[7.3],[713.0],1
283, Tom Petty,[7.3],[713.0],1
284, Keith Richards,[7.3],[713.0],1
285, Brian Setzer,[7.3],[713.0],1
286, Baha Men,[7.1],[704.0],1
287, Manjula Nahasapeemapetilon,[7.1],[704.0],1
